"","country","date","cases","recovered","deaths","active_cases","day","month","y2019","y2020","flights"
"1","Brazil",2020-01-22,0,0,0,0,22,1,476,419,1.13603818615752
"2","Brazil",2020-01-23,0,0,0,0,23,1,473,465,1.01720430107527
"3","Brazil",2020-01-24,0,0,0,0,24,1,495,460,1.07608695652174
"4","Brazil",2020-01-25,0,0,0,0,25,1,465,460,1.01086956521739
"5","Brazil",2020-01-26,0,0,0,0,26,1,537,463,1.15982721382289
"6","Brazil",2020-01-27,0,0,0,0,27,1,502,450,1.11555555555556
"7","Brazil",2020-01-28,0,0,0,0,28,1,470,436,1.07798165137615
"8","Brazil",2020-01-29,0,0,0,0,29,1,479,431,1.11136890951276
"9","Brazil",2020-01-30,0,0,0,0,30,1,468,478,0.97907949790795
"10","Brazil",2020-01-31,0,0,0,0,31,1,506,448,1.12946428571429
"11","Brazil",2020-02-01,0,0,0,0,1,2,480,461,1.0412147505423
"12","Brazil",2020-02-02,0,0,0,0,2,2,505,450,1.12222222222222
"13","Brazil",2020-02-03,0,0,0,0,3,2,500,433,1.15473441108545
"14","Brazil",2020-02-04,0,0,0,0,4,2,455,418,1.08851674641148
"15","Brazil",2020-02-05,0,0,0,0,5,2,453,415,1.09156626506024
"16","Brazil",2020-02-06,0,0,0,0,6,2,478,456,1.04824561403509
"17","Brazil",2020-02-07,0,0,0,0,7,2,492,451,1.09090909090909
"18","Brazil",2020-02-08,0,0,0,0,8,2,477,448,1.06473214285714
"19","Brazil",2020-02-09,0,0,0,0,9,2,489,442,1.10633484162896
"20","Brazil",2020-02-10,0,0,0,0,10,2,471,419,1.12410501193317
"21","Brazil",2020-02-11,0,0,0,0,11,2,416,433,0.960739030023095
"22","Brazil",2020-02-12,0,0,0,0,12,2,454,417,1.08872901678657
"23","Brazil",2020-02-13,0,0,0,0,13,2,466,453,1.02869757174393
"24","Brazil",2020-02-14,0,0,0,0,14,2,465,461,1.00867678958785
"25","Brazil",2020-02-15,0,0,0,0,15,2,468,464,1.00862068965517
"26","Brazil",2020-02-16,0,0,0,0,16,2,503,463,1.08639308855292
"27","Brazil",2020-02-17,0,0,0,0,17,2,468,437,1.07093821510297
"28","Brazil",2020-02-18,0,0,0,0,18,2,441,419,1.05250596658711
"29","Brazil",2020-02-19,0,0,0,0,19,2,450,440,1.02272727272727
"30","Brazil",2020-02-20,0,0,0,0,20,2,438,476,0.920168067226891
"31","Brazil",2020-02-21,0,0,0,0,21,2,479,474,1.01054852320675
"32","Brazil",2020-02-22,0,0,0,0,22,2,459,459,1
"33","Brazil",2020-02-23,0,0,0,0,23,2,487,430,1.13255813953488
"34","Brazil",2020-02-24,0,0,0,0,24,2,445,416,1.06971153846154
"35","Brazil",2020-02-25,0,0,0,0,25,2,430,410,1.04878048780488
"36","Brazil",2020-02-26,1,0,0,1,26,2,444,428,1.03738317757009
"37","Brazil",2020-02-27,1,0,0,1,27,2,473,439,1.07744874715262
"38","Brazil",2020-02-28,1,0,0,1,28,2,483,432,1.11805555555556
"39","Brazil",2020-02-29,2,0,0,2,NA,NA,NA,NA,NA
"40","Brazil",2020-03-01,2,0,0,2,1,3,473,465,1.01720430107527
"41","Brazil",2020-03-02,2,0,0,2,2,3,620,462,1.34199134199134
"42","Brazil",2020-03-03,2,0,0,2,3,3,449,411,1.09245742092457
"43","Brazil",2020-03-04,4,0,0,4,4,3,404,384,1.05208333333333
"44","Brazil",2020-03-05,4,0,0,4,5,3,419,440,0.952272727272727
"45","Brazil",2020-03-06,13,0,0,13,6,3,456,423,1.07801418439716
"46","Brazil",2020-03-07,13,0,0,13,7,3,462,431,1.07192575406032
"47","Brazil",2020-03-08,20,0,0,20,8,3,461,445,1.03595505617978
"48","Brazil",2020-03-09,25,0,0,25,9,3,540,419,1.28878281622912
"49","Brazil",2020-03-10,31,0,0,31,10,3,495,402,1.23134328358209
"50","Brazil",2020-03-11,38,0,0,38,11,3,433,393,1.10178117048346
"51","Brazil",2020-03-12,52,0,0,52,12,3,421,443,0.950338600451467
"52","Brazil",2020-03-13,151,0,0,151,13,3,440,406,1.08374384236453
"53","Brazil",2020-03-14,151,0,0,151,14,3,442,417,1.0599520383693
"54","Brazil",2020-03-15,162,0,0,162,15,3,450,437,1.02974828375286
"55","Brazil",2020-03-16,200,1,0,199,16,3,461,399,1.15538847117794
"56","Brazil",2020-03-17,321,2,1,318,17,3,441,369,1.19512195121951
"57","Brazil",2020-03-18,372,2,3,367,18,3,410,330,1.24242424242424
"58","Brazil",2020-03-19,621,2,6,613,19,3,398,328,1.21341463414634
"59","Brazil",2020-03-20,793,2,11,780,20,3,409,313,1.30670926517572
"60","Brazil",2020-03-21,1021,2,15,1004,21,3,435,286,1.52097902097902
"61","Brazil",2020-03-22,1546,2,25,1519,22,3,437,232,1.88362068965517
"62","Brazil",2020-03-23,1924,2,34,1888,23,3,453,181,2.50276243093923
"63","Brazil",2020-03-24,2247,2,46,2199,24,3,427,130,3.28461538461538
"64","Brazil",2020-03-25,2554,2,59,2493,25,3,398,104,3.82692307692308
"65","Brazil",2020-03-26,2985,6,77,2902,26,3,408,114,3.57894736842105
"66","Brazil",2020-03-27,3417,6,92,3319,27,3,412,104,3.96153846153846
"67","Brazil",2020-03-28,3904,6,111,3787,28,3,431,91,4.73626373626374
"68","Brazil",2020-03-29,4256,6,136,4114,29,3,438,69,6.34782608695652
"69","Brazil",2020-03-30,4579,120,159,4300,30,3,437,76,5.75
"70","Brazil",2020-03-31,5717,127,201,5389,31,3,366,77,4.75324675324675
"71","Brazil",2020-04-01,6836,127,240,6469,1,4,396,68,5.82352941176471
"72","Brazil",2020-04-02,8044,127,324,7593,2,4,404,70,5.77142857142857
"73","Brazil",2020-04-03,9056,127,359,8570,3,4,385,59,6.52542372881356
"74","Brazil",2020-04-04,10360,127,445,9788,4,4,444,42,10.5714285714286
"75","Brazil",2020-04-05,11130,127,486,10517,5,4,410,52,7.88461538461539
"76","Brazil",2020-04-06,12161,127,564,11470,6,4,439,47,9.34042553191489
"77","Brazil",2020-04-07,14034,127,686,13221,7,4,438,67,6.53731343283582
"78","Brazil",2020-04-08,16170,127,819,15224,8,4,413,60,6.88333333333333
"79","Brazil",2020-04-09,18092,173,950,16969,9,4,460,68,6.76470588235294
"80","Brazil",2020-04-10,19638,173,1057,18408,10,4,398,41,9.70731707317073
"81","Brazil",2020-04-11,20727,173,1124,19430,11,4,433,57,7.59649122807018
"82","Brazil",2020-04-12,22192,173,1223,20796,12,4,425,47,9.04255319148936
"83","Brazil",2020-04-13,23430,173,1328,21929,13,4,446,51,8.74509803921569
"84","Brazil",2020-04-14,25262,3046,1532,20684,14,4,450,52,8.65384615384615
"85","Brazil",2020-04-15,28320,14026,1736,12558,15,4,404,50,8.08
"86","Brazil",2020-04-16,30425,14026,1924,14475,16,4,417,78,5.34615384615385
"87","Brazil",2020-04-17,33682,14026,2141,17515,17,4,395,57,6.92982456140351
"88","Brazil",2020-04-18,36658,14026,2354,20278,18,4,421,52,8.09615384615385
"89","Brazil",2020-04-19,38654,22130,2462,14062,19,4,368,61,6.0327868852459
"90","Brazil",2020-04-20,40743,22130,2587,16026,20,4,400,54,7.40740740740741
"91","Brazil",2020-04-21,43079,22991,2741,17347,21,4,457,58,7.87931034482759
"92","Brazil",2020-04-22,45757,25318,2906,17533,22,4,417,69,6.04347826086957
"93","Brazil",2020-04-23,50036,26573,3331,20132,23,4,427,75,5.69333333333333
"94","Brazil",2020-04-24,54043,27655,3704,22684,24,4,392,69,5.68115942028986
"95","Brazil",2020-04-25,59324,29160,4057,26107,25,4,410,56,7.32142857142857
"96",NA,2020-01-01,NA,NA,NA,NA,1,1,380,374,1.01604278074866
"97",NA,2020-01-02,NA,NA,NA,NA,2,1,431,432,0.997685185185185
"98",NA,2020-01-03,NA,NA,NA,NA,3,1,439,466,0.94206008583691
"99",NA,2020-01-04,NA,NA,NA,NA,4,1,414,473,0.875264270613108
"100",NA,2020-01-05,NA,NA,NA,NA,5,1,469,492,0.953252032520325
"101",NA,2020-01-06,NA,NA,NA,NA,6,1,438,466,0.939914163090129
"102",NA,2020-01-07,NA,NA,NA,NA,7,1,423,437,0.967963386727689
"103",NA,2020-01-08,NA,NA,NA,NA,8,1,386,432,0.893518518518518
"104",NA,2020-01-09,NA,NA,NA,NA,9,1,417,455,0.916483516483516
"105",NA,2020-01-10,NA,NA,NA,NA,10,1,423,471,0.898089171974522
"106",NA,2020-01-11,NA,NA,NA,NA,11,1,416,478,0.870292887029289
"107",NA,2020-01-12,NA,NA,NA,NA,12,1,436,475,0.917894736842105
"108",NA,2020-01-13,NA,NA,NA,NA,13,1,421,462,0.911255411255411
"109",NA,2020-01-14,NA,NA,NA,NA,14,1,418,441,0.947845804988662
"110",NA,2020-01-15,NA,NA,NA,NA,15,1,447,440,1.01590909090909
"111",NA,2020-01-16,NA,NA,NA,NA,16,1,462,464,0.995689655172414
"112",NA,2020-01-17,NA,NA,NA,NA,17,1,490,467,1.04925053533191
"113",NA,2020-01-18,NA,NA,NA,NA,18,1,485,486,0.997942386831276
"114",NA,2020-01-19,NA,NA,NA,NA,19,1,527,467,1.12847965738758
"115",NA,2020-01-20,NA,NA,NA,NA,20,1,494,451,1.09534368070953
"116",NA,2020-01-21,NA,NA,NA,NA,21,1,458,435,1.05287356321839
